name,deltaX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deltaY,,,,,,,,,,,Value,,,,,
range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-4,-3,-2,-1,0,1,2,3,4,5,AxisX,AxisY,A,B,R,L
Dash,147,93,144,178,200,177,128,153,129,124,109,91,95,87,63,76,56,53,38,63,36,45,38,42,45,42,47,55,32,3274,1,1,1,1,1,3561,898,41,68,13,175,1,0,0,0,0,0
Jump,32,16,18,31,69,67,21,14,11,10,3,9,10,4,3,2,4,4,3,1,5,5,5,4,4,3,5,2,1,121,1,1,1,1,1,341,73,10,7,8,24,0,1,0,0,0,0
Lightning,25,11,38,41,117,30,25,2,18,10,8,3,1,2,2,1,9,2,9,8,2,1,2,8,3,8,4,1,2,697,1,1,1,1,2,410,34,4,5,4,2,0,0,0,0,1,0
NutralA,46,49,27,20,38,19,6,11,4,13,2,5,2,5,2,3,1,2,1,1,1,1,1,1,2,2,2,2,2,103,8,4,4,8,12,93,17,9,11,2,7,0,0,1,0,0,0
NutralB,12,31,30,42,47,26,16,4,6,3,3,3,3,4,3,3,1,2,4,1,2,3,1,3,2,2,5,1,1,85,1,2,2,3,12,131,20,3,2,3,1,0,0,0,1,0,0
SideA,117,74,109,132,118,36,13,23,15,14,7,9,7,13,15,22,7,10,10,6,2,2,8,3,2,2,1,1,10,280,14,4,8,26,74,186,48,11,10,7,13,1,0,1,0,0,0
SideB,67,33,42,45,26,19,17,30,14,2,3,2,7,1,4,2,1,2,5,9,1,1,2,3,3,2,8,8,9,106,7,3,2,13,31,114,19,6,6,4,4,1,0,0,1,0,0
DownA,12,12,24,12,19,24,12,8,2,3,8,1,1,1,2,1,2,1,1,1,2,3,1,1,9,1,1,1,1,36,13,6,3,10,11,33,10,1,2,2,3,0,-1,1,0,0,0
DownB,29,12,19,29,37,10,4,11,4,1,5,1,1,2,3,1,8,1,1,2,1,1,1,8,1,1,1,1,1,36,13,5,9,4,2,43,25,2,3,2,4,0,-1,0,1,0,0
UpA,17,6,8,9,17,8,3,4,3,2,2,2,1,3,1,1,2,1,1,8,1,2,1,1,1,1,2,1,1,7,1,2,2,8,27,28,8,5,4,3,4,0,1,1,0,0,0
UpB,54,17,30,32,43,46,5,6,10,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,8,18,7,2,3,10,26,88,12,5,4,3,7,0,1,0,1,0,0
LimitBreak,11,1,11,21,31,61,1,1,1,1,1,11,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,281,1,1,1,1,1,211,31,11,1,1,1,0,0,0,0,0,1
