name,deltaX, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deltaY,,,,,,,,,,,MyState,,,,,,,,,,,,,,EnState,,,,,,,,,,,,,,Value,,,,,
range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-4,-3,-2,-1,0,1,2,3,4,5,Dash,Jump,Lightning,NutralA,NutralB,SideA,SideB,DownA,DownB,UpA,UpB,LimitBreak,Critical,Resistance,Dash,Jump,Lightning,NutralA,NutralB,SideA,SideB,DownA,DownB,UpA,UpB,LimitBreak,Critical,Resistance,AxisX,AxisY,A,B,R,L
Dash,29,64,29,22,22,29,22,29,29,15,29,22,29,15,15,8,8,8,8,1,1,1,1,1,1,1,1,1,1,218,1,1,1,1,1,53,12,17,9,3,2,235,1,7,1,1,10,7,1,10,4,1,1,4,1,1,67,70,10,25,61,22,1,1,1,1,1,22,1,1,0,0,0,0,0
Jump,15,36,36,85,162,316,57,1,22,8,8,1,1,1,1,1,22,15,8,15,8,1,8,1,1,1,1,1,1,120,1,1,1,1,1,97,14,4,5,2,16,16,283,70,1,4,13,10,1,22,1,7,1,34,1,1,31,133,16,19,67,49,10,52,7,1,1,76,1,0,1,0,0,0,0
Lightning,43,78,134,260,120,295,29,29,22,15,15,15,36,8,1,22,8,15,29,50,8,8,8,1,8,15,8,1,8,1443,1,1,1,1,1,342,20,6,8,5,11,19,4,787,4,1,94,85,1,28,1,22,16,52,13,16,46,412,19,22,91,70,25,115,1,19,4,286,1,0,0,0,0,1,0
NutralA,1,1,8,43,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,9,2,1,1,1,1,1,1,4,28,1,1,4,1,1,1,1,1,1,1,1,1,19,1,1,4,7,1,1,1,1,1,7,1,0,0,1,0,0,0
NutralB,1,15,29,15,57,29,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,8,3,4,2,1,4,5,5,5,1,1,3,1,1,16,1,55,1,1,1,1,1,1,1,1,1,1,7,10,1,1,19,22,1,13,1,1,1,4,1,0,0,0,1,0,0
SideA,85,43,183,99,197,134,78,29,29,43,29,29,29,15,15,8,8,1,1,8,8,8,1,1,1,1,1,1,1,169,29,5,4,6,22,80,14,3,5,3,15,19,19,28,4,1,403,16,7,19,22,13,1,4,4,1,28,139,16,13,73,88,22,70,10,31,1,67,1,1,0,1,0,0,0
SideB,78,8,64,106,211,162,22,22,29,1,15,8,15,8,1,1,1,8,1,15,1,1,1,1,1,1,1,8,8,43,9,1,3,3,11,73,9,5,3,3,7,7,4,103,1,1,1,202,1,10,1,1,1,19,1,1,28,112,7,10,43,40,1,43,4,7,4,52,1,1,0,0,1,0,0
DownA,8,8,15,36,8,1,8,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,1,4,2,7,3,1,1,1,1,1,1,4,1,1,1,1,34,1,7,1,1,1,1,1,10,4,1,1,1,1,1,16,1,1,1,16,1,0,-1,1,0,0,0
DownB,43,85,120,99,127,239,1,29,1,1,1,1,8,1,1,8,1,1,1,15,8,8,1,1,1,1,1,1,1,106,27,5,9,9,2,56,9,5,1,4,10,1,37,52,1,10,1,1,1,304,1,1,1,4,1,1,28,118,19,16,58,55,4,64,4,10,7,31,1,0,-1,0,1,0,0
UpA,8,1,22,36,15,29,1,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,6,1,1,2,3,7,1,37,1,1,1,1,1,1,1,13,1,1,1,1,1,1,4,10,1,19,7,4,10,1,1,1,1,1,0,1,1,0,0,0
UpB,8,8,36,36,43,57,15,1,1,8,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,8,5,1,2,3,7,12,4,2,1,2,3,1,55,1,1,1,1,1,1,1,1,43,1,1,1,1,4,37,4,10,7,16,4,13,1,1,4,7,1,0,1,0,1,0,0
LimitBreak,1,1,141,211,1,281,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,421,1,1,1,1,1,101,11,21,1,1,31,1,1,13,1,1,1,1,1,1,1,1,25,4,1,1,4,10,1,4,7,4,1,7,1,1,7,4,1,0,0,0,0,0,1
