name,deltaX, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deltaY,,,,,,,,,,,MyState,,,,,,,,,,,,,,EnState,,,,,,,,,,,,,,Value,,,,,
range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-5,-4,-3,-2,-1,0,1,2,3,4,5,Dash,Jump,Lightning,NutralA,NutralB,SideA,SideB,DownA,DownB,UpA,UpB,LimitBreak,Critical,Resistance,Dash,Jump,Lightning,NutralA,NutralB,SideA,SideB,DownA,DownB,UpA,UpB,LimitBreak,Critical,Resistance,AxisX,AxisY,A,B,R,L
Dash,29,64,29,22,22,29,22,29,29,15,29,22,29,15,15,8,8,8,8,1,1,1,1,1,1,1,1,1,1,218,1,1,1,1,1,53,12,17,9,3,2,235,1,7,1,1,10,7,1,10,4,1,1,4,1,1,67,70,10,25,61,22,1,1,1,1,1,22,1,1,0,0,0,0,0
Jump,15,36,36,71,120,239,57,1,15,8,8,1,1,1,1,1,22,15,8,1,8,1,1,1,1,1,1,1,1,92,1,1,1,1,1,76,11,4,4,2,14,16,148,70,1,4,13,10,1,22,1,7,1,34,1,1,22,91,16,19,49,40,7,34,7,1,1,40,1,0,1,0,0,0,0
Lightning,36,50,64,113,57,162,15,15,1,15,15,15,29,8,1,8,1,15,15,8,8,1,8,1,8,15,8,1,8,1079,1,1,1,1,1,226,10,5,6,2,7,19,4,421,4,1,94,85,1,28,1,22,16,52,13,16,37,256,19,19,70,37,19,46,1,16,4,220,1,0,0,0,0,1,0
NutralA,1,1,1,36,15,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,2,1,1,1,1,1,1,4,13,1,1,4,1,1,1,1,1,1,1,1,1,13,1,1,4,1,1,1,1,1,1,4,1,0,0,1,0,0,0
NutralB,1,15,29,1,29,29,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,8,2,3,1,1,3,5,3,5,1,1,3,1,1,16,1,25,1,1,1,1,1,1,1,1,1,1,1,10,1,1,13,16,1,4,1,1,1,1,1,0,0,0,1,0,0
SideA,85,43,141,71,99,92,78,22,29,36,22,22,15,15,1,1,8,1,1,1,8,8,1,1,1,1,1,1,1,92,17,2,2,2,16,63,11,3,5,3,11,19,19,28,4,1,238,16,7,19,22,13,1,4,4,1,25,94,13,10,43,58,16,61,10,31,1,31,1,1,0,1,0,0,0
SideB,57,1,50,99,204,120,15,22,29,1,8,8,15,1,1,1,1,8,1,8,1,1,1,1,1,1,1,8,8,15,7,1,2,2,11,58,8,4,3,3,6,7,4,103,1,1,1,130,1,10,1,1,1,19,1,1,25,94,7,10,28,25,1,31,4,4,4,46,1,1,0,0,1,0,0
DownA,1,8,8,8,8,1,8,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,3,2,1,1,1,1,1,1,4,1,1,1,1,13,1,7,1,1,1,1,1,10,1,1,1,1,1,1,10,1,1,1,4,1,0,-1,1,0,0,0
DownB,43,50,85,85,92,162,1,22,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,57,21,4,6,9,2,36,4,4,1,2,7,1,37,52,1,10,1,1,1,178,1,1,1,4,1,1,13,94,19,16,31,43,4,37,1,7,7,16,1,0,-1,0,1,0,0
UpA,8,1,22,36,15,22,1,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,6,1,1,2,3,6,1,37,1,1,1,1,1,1,1,13,1,1,1,1,1,1,4,10,1,19,7,4,10,1,1,1,1,1,0,1,1,0,0,0
UpB,8,8,22,22,36,57,15,1,1,8,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,6,12,4,1,1,1,3,1,55,1,1,1,1,1,1,1,1,19,1,1,1,1,4,25,4,10,7,16,4,10,1,1,1,1,1,0,1,0,1,0,0
LimitBreak,1,1,141,211,1,141,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,281,1,1,1,1,1,81,11,1,1,1,31,1,1,13,1,1,1,1,1,1,1,1,13,4,1,1,4,10,1,4,7,4,1,4,1,1,1,1,1,0,0,0,0,0,1
